nom_message_clair	nom_complet	opcode_ou_typeurl	direction	champs	fichier:ligne
Message	com.ankama.dofus.server.connection.protocol.Message	type.ankama.com/com.ankama.dofus.server.connection.protocol.Message		1:.com.ankama.dofus.server.connection.protocol.Request:request;2:.com.ankama.dofus.server.connection.protocol.Response:response;3:.com.ankama.dofus.server.connection.protocol.Event:event	refs/dofus-unity-protocol-builder/proto/connection/message.proto:7
Request	com.ankama.dofus.server.connection.protocol.Request	type.ankama.com/com.ankama.dofus.server.connection.protocol.Request	C2S	1:string:uuid;2:.com.ankama.dofus.server.connection.protocol.Ping:ping;3:.com.ankama.dofus.server.connection.protocol.IdentificationRequest:identification;4:.com.ankama.dofus.server.connection.protocol.SelectServerRequest:selectServer;5:.com.ankama.dofus.server.connection.protocol.ForceAccountRequest:forceAccount;6:.com.ankama.dofus.server.connection.protocol.ReleaseAccountRequest:releaseAccount;7:.com.ankama.dofus.server.connection.protocol.CharactersRequest:characters_request;8:.com.ankama.dofus.server.connection.protocol.FriendListRequest:friend_list_request;9:.com.ankama.dofus.server.connection.protocol.AcquaintanceServersRequest:acquaintance_servers_request	refs/dofus-unity-protocol-builder/proto/connection/message.proto:15
Response	com.ankama.dofus.server.connection.protocol.Response	type.ankama.com/com.ankama.dofus.server.connection.protocol.Response	S2C	1:string:uuid;2:.com.ankama.dofus.server.connection.protocol.Pong:pong;3:.com.ankama.dofus.server.connection.protocol.IdentificationResponse:identification;4:.com.ankama.dofus.server.connection.protocol.SelectServerResponse:selectServer;5:.com.ankama.dofus.server.connection.protocol.ForceAccountResponse:forceAccount;6:.com.ankama.dofus.server.connection.protocol.CharacterListResponse:character_list_response;7:.com.ankama.dofus.server.connection.protocol.FriendListResponse:friend_list;8:.com.ankama.dofus.server.connection.protocol.AcquaintanceServersResponse:acquaintance_servers_response	refs/dofus-unity-protocol-builder/proto/connection/message.proto:29
Event	com.ankama.dofus.server.connection.protocol.Event	type.ankama.com/com.ankama.dofus.server.connection.protocol.Event	S2C	1:.com.ankama.dofus.server.connection.protocol.Server:server;2:.com.ankama.dofus.server.connection.protocol.UpdateServerEvent:update_server_event	refs/dofus-unity-protocol-builder/proto/connection/message.proto:42
Ping	com.ankama.dofus.server.connection.protocol.Ping	type.ankama.com/com.ankama.dofus.server.connection.protocol.Ping			refs/dofus-unity-protocol-builder/proto/connection/message.proto:49
Pong	com.ankama.dofus.server.connection.protocol.Pong	type.ankama.com/com.ankama.dofus.server.connection.protocol.Pong			refs/dofus-unity-protocol-builder/proto/connection/message.proto:52
UpdateServerEvent	com.ankama.dofus.server.connection.protocol.UpdateServerEvent	type.ankama.com/com.ankama.dofus.server.connection.protocol.UpdateServerEvent	S2C	1:.com.ankama.dofus.server.connection.protocol.ServerInformation:serverInformation	refs/dofus-unity-protocol-builder/proto/connection/message.proto:55
IdentificationRequest	com.ankama.dofus.server.connection.protocol.IdentificationRequest	type.ankama.com/com.ankama.dofus.server.connection.protocol.IdentificationRequest	C2S	1:string:device_identifier;5:string:client_version;3:.com.ankama.dofus.server.connection.protocol.TokenRequest:tokenRequest;4:.com.ankama.dofus.server.connection.protocol.LoginRequest:loginRequest	refs/dofus-unity-protocol-builder/proto/connection/message.proto:59
TokenRequest	com.ankama.dofus.server.connection.protocol.TokenRequest	type.ankama.com/com.ankama.dofus.server.connection.protocol.TokenRequest	C2S	1:string:token;2:.com.ankama.dofus.server.connection.protocol.TokenRequest.Shield:shield	refs/dofus-unity-protocol-builder/proto/connection/message.proto:68
Shield	com.ankama.dofus.server.connection.protocol.TokenRequest+Shield	type.ankama.com/com.ankama.dofus.server.connection.protocol.TokenRequest.Shield		1:int64:certificateId;2:string:certificateHash	refs/dofus-unity-protocol-builder/proto/connection/message.proto:71
LoginRequest	com.ankama.dofus.server.connection.protocol.LoginRequest	type.ankama.com/com.ankama.dofus.server.connection.protocol.LoginRequest	C2S	1:string:login	refs/dofus-unity-protocol-builder/proto/connection/message.proto:78
IdentificationResponse	com.ankama.dofus.server.connection.protocol.IdentificationResponse	type.ankama.com/com.ankama.dofus.server.connection.protocol.IdentificationResponse	S2C	1:.com.ankama.dofus.server.connection.protocol.IdentificationResponse.Success:success;2:.com.ankama.dofus.server.connection.protocol.IdentificationResponse.Error:error	refs/dofus-unity-protocol-builder/proto/connection/message.proto:82
Success	com.ankama.dofus.server.connection.protocol.IdentificationResponse+Success	type.ankama.com/com.ankama.dofus.server.connection.protocol.IdentificationResponse.Success		1:int64:account_id;2:string:account_nickname;3:string:account_tag;4:.com.ankama.dofus.server.connection.protocol.ServerList:server_list;5:string:subscription_end_date;6:.com.ankama.dofus.server.connection.protocol.IdentificationResponse.Success.Rights:rights;7:int32:fight_reconnection_server_id	refs/dofus-unity-protocol-builder/proto/connection/message.proto:87
Rights	com.ankama.dofus.server.connection.protocol.IdentificationResponse+Success+Rights	type.ankama.com/com.ankama.dofus.server.connection.protocol.IdentificationResponse.Success.Rights		1:bool:show_force_account;2:bool:show_console;3:bool:unlimited_access;4:bool:infinite_subscription;5:bool:report	refs/dofus-unity-protocol-builder/proto/connection/message.proto:95
Error	com.ankama.dofus.server.connection.protocol.IdentificationResponse+Error	type.ankama.com/com.ankama.dofus.server.connection.protocol.IdentificationResponse.Error		1:.com.ankama.dofus.server.connection.protocol.IdentificationResponse.Error.Reason:reason;2:string:ban_end_date;3:string:required_version	refs/dofus-unity-protocol-builder/proto/connection/message.proto:105
SelectServerRequest	com.ankama.dofus.server.connection.protocol.SelectServerRequest	type.ankama.com/com.ankama.dofus.server.connection.protocol.SelectServerRequest	C2S	1:int32:server	refs/dofus-unity-protocol-builder/proto/connection/message.proto:130
SelectServerResponse	com.ankama.dofus.server.connection.protocol.SelectServerResponse	type.ankama.com/com.ankama.dofus.server.connection.protocol.SelectServerResponse	S2C	1:.com.ankama.dofus.server.connection.protocol.SelectServerResponse.Success:success;2:.com.ankama.dofus.server.connection.protocol.SelectServerResponse.Error:error	refs/dofus-unity-protocol-builder/proto/connection/message.proto:134
Success	com.ankama.dofus.server.connection.protocol.SelectServerResponse+Success	type.ankama.com/com.ankama.dofus.server.connection.protocol.SelectServerResponse.Success		1:string:token;2:string:host;3:repeated int32:ports	refs/dofus-unity-protocol-builder/proto/connection/message.proto:139
ServerList	com.ankama.dofus.server.connection.protocol.ServerList	type.ankama.com/com.ankama.dofus.server.connection.protocol.ServerList		1:repeated .com.ankama.dofus.server.connection.protocol.ServerInformation:servers;2:int32:max_slot_by_type	refs/dofus-unity-protocol-builder/proto/connection/message.proto:154
ServerInformation	com.ankama.dofus.server.connection.protocol.ServerInformation	type.ankama.com/com.ankama.dofus.server.connection.protocol.ServerInformation		1:.com.ankama.dofus.server.connection.protocol.Server:server;2:.com.ankama.dofus.server.connection.protocol.ServerInformation.Accessibility:accessibility	refs/dofus-unity-protocol-builder/proto/connection/message.proto:159
Server	com.ankama.dofus.server.connection.protocol.Server	type.ankama.com/com.ankama.dofus.server.connection.protocol.Server		1:int32:id;2:.com.ankama.dofus.server.connection.protocol.Server.Status:status;3:bool:limited;4:int32:type;5:bool:mono_account	refs/dofus-unity-protocol-builder/proto/connection/message.proto:170
ForceAccountRequest	com.ankama.dofus.server.connection.protocol.ForceAccountRequest	type.ankama.com/com.ankama.dofus.server.connection.protocol.ForceAccountRequest	C2S	1:int64:account_id	refs/dofus-unity-protocol-builder/proto/connection/message.proto:184
ForceAccountResponse	com.ankama.dofus.server.connection.protocol.ForceAccountResponse	type.ankama.com/com.ankama.dofus.server.connection.protocol.ForceAccountResponse	S2C	2:.com.ankama.dofus.server.connection.protocol.ForceAccountStatus:success;3:.com.ankama.dofus.server.connection.protocol.ForceAccountError:error	refs/dofus-unity-protocol-builder/proto/connection/message.proto:188
ForceAccountStatus	com.ankama.dofus.server.connection.protocol.ForceAccountStatus	type.ankama.com/com.ankama.dofus.server.connection.protocol.ForceAccountStatus		1:bool:is_forced;2:int64:forced_account_id;3:string:forced_account_nickname;4:string:forced_account_tag;5:.com.ankama.dofus.server.connection.protocol.ServerList:server_list	refs/dofus-unity-protocol-builder/proto/connection/message.proto:195
ForceAccountError	com.ankama.dofus.server.connection.protocol.ForceAccountError	type.ankama.com/com.ankama.dofus.server.connection.protocol.ForceAccountError			refs/dofus-unity-protocol-builder/proto/connection/message.proto:203
ReleaseAccountRequest	com.ankama.dofus.server.connection.protocol.ReleaseAccountRequest	type.ankama.com/com.ankama.dofus.server.connection.protocol.ReleaseAccountRequest	C2S		refs/dofus-unity-protocol-builder/proto/connection/message.proto:206
CharactersRequest	com.ankama.dofus.server.connection.protocol.CharactersRequest	type.ankama.com/com.ankama.dofus.server.connection.protocol.CharactersRequest	C2S		refs/dofus-unity-protocol-builder/proto/connection/message.proto:209
CharacterListResponse	com.ankama.dofus.server.connection.protocol.CharacterListResponse	type.ankama.com/com.ankama.dofus.server.connection.protocol.CharacterListResponse	S2C	1:repeated .com.ankama.dofus.server.connection.protocol.CharacterListResponse.CharacterInformation:character_information	refs/dofus-unity-protocol-builder/proto/connection/message.proto:212
CharacterInformation	com.ankama.dofus.server.connection.protocol.CharacterListResponse+CharacterInformation	type.ankama.com/com.ankama.dofus.server.connection.protocol.CharacterListResponse.CharacterInformation		1:string:name;2:.com.ankama.dofus.server.connection.protocol.CharacterListResponse.CharacterInformation.Breed:breed;3:.com.ankama.dofus.server.connection.protocol.CharacterListResponse.CharacterInformation.Gender:gender;4:int32:level;5:string:last_connection_date;6:int32:server_id	refs/dofus-unity-protocol-builder/proto/connection/message.proto:214
FriendListRequest	com.ankama.dofus.server.connection.protocol.FriendListRequest	type.ankama.com/com.ankama.dofus.server.connection.protocol.FriendListRequest	C2S		refs/dofus-unity-protocol-builder/proto/connection/message.proto:252
FriendListResponse	com.ankama.dofus.server.connection.protocol.FriendListResponse	type.ankama.com/com.ankama.dofus.server.connection.protocol.FriendListResponse	S2C	1:.com.ankama.dofus.server.connection.protocol.FriendListResponse.FriendList:friends;2:.com.ankama.dofus.server.connection.protocol.FriendListResponse.Error:error	refs/dofus-unity-protocol-builder/proto/connection/message.proto:255
FriendList	com.ankama.dofus.server.connection.protocol.FriendListResponse+FriendList	type.ankama.com/com.ankama.dofus.server.connection.protocol.FriendListResponse.FriendList		1:repeated .com.ankama.dofus.server.connection.protocol.FriendListResponse.FriendList.Friend:friends	refs/dofus-unity-protocol-builder/proto/connection/message.proto:260
Friend	com.ankama.dofus.server.connection.protocol.FriendListResponse+FriendList+Friend	type.ankama.com/com.ankama.dofus.server.connection.protocol.FriendListResponse.FriendList.Friend		1:string:account_name;2:string:account_tag;3:repeated int32:servers	refs/dofus-unity-protocol-builder/proto/connection/message.proto:262
AcquaintanceServersRequest	com.ankama.dofus.server.connection.protocol.AcquaintanceServersRequest	type.ankama.com/com.ankama.dofus.server.connection.protocol.AcquaintanceServersRequest	C2S	1:string:name;2:string:tag	refs/dofus-unity-protocol-builder/proto/connection/message.proto:277
AcquaintanceServersResponse	com.ankama.dofus.server.connection.protocol.AcquaintanceServersResponse	type.ankama.com/com.ankama.dofus.server.connection.protocol.AcquaintanceServersResponse	S2C	1:.com.ankama.dofus.server.connection.protocol.AcquaintanceServersResponse.Servers:servers;2:.com.ankama.dofus.server.connection.protocol.AcquaintanceServersResponse.Error:error	refs/dofus-unity-protocol-builder/proto/connection/message.proto:282
Servers	com.ankama.dofus.server.connection.protocol.AcquaintanceServersResponse+Servers	type.ankama.com/com.ankama.dofus.server.connection.protocol.AcquaintanceServersResponse.Servers		1:repeated int32:servers	refs/dofus-unity-protocol-builder/proto/connection/message.proto:287
Error	com.ankama.dofus.server.connection.protocol.AcquaintanceServersResponse+Error	type.ankama.com/com.ankama.dofus.server.connection.protocol.AcquaintanceServersResponse.Error		1:.com.ankama.dofus.server.connection.protocol.AcquaintanceServersResponse.Error.Reason:reason	refs/dofus-unity-protocol-builder/proto/connection/message.proto:291
AccountInformationUpdateEvent	com.ankama.dofus.server.game.protocol.account.AccountInformationUpdateEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.account.AccountInformationUpdateEvent	S2C	1:int64:subscription_end_date	refs/dofus-unity-protocol-builder/proto/game/account.proto:9
AccountSubscriptionElapsedDurationUpdateEvent	com.ankama.dofus.server.game.protocol.account.AccountSubscriptionElapsedDurationUpdateEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.account.AccountSubscriptionElapsedDurationUpdateEvent	S2C	1:int64:subscription_elapsed_duration	refs/dofus-unity-protocol-builder/proto/game/account.proto:13
AccountCapabilitiesEvent	com.ankama.dofus.server.game.protocol.account.AccountCapabilitiesEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.account.AccountCapabilitiesEvent	S2C	1:int64:account_id;2:bool:tutorial_available;3:.com.ankama.dofus.server.game.protocol.common.Hierarchy:status;4:bool:can_create_new_character	refs/dofus-unity-protocol-builder/proto/game/account.proto:17
GuestLimitationEvent	com.ankama.dofus.server.game.protocol.account.GuestLimitationEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.account.GuestLimitationEvent	S2C	1:.com.ankama.dofus.server.game.protocol.account.GuestLimitationEvent.GuestLimitation:reason	refs/dofus-unity-protocol-builder/proto/game/account.proto:24
GuestModeEvent	com.ankama.dofus.server.game.protocol.account.GuestModeEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.account.GuestModeEvent	S2C	1:bool:effective	refs/dofus-unity-protocol-builder/proto/game/account.proto:38
SubscriptionLimitationEvent	com.ankama.dofus.server.game.protocol.account.SubscriptionLimitationEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.account.SubscriptionLimitationEvent	S2C	1:.com.ankama.dofus.server.game.protocol.account.SubscriptionLimitationEvent.SubscriptionRequired:reason	refs/dofus-unity-protocol-builder/proto/game/account.proto:42
SubscriptionZoneEvent	com.ankama.dofus.server.game.protocol.account.SubscriptionZoneEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.account.SubscriptionZoneEvent	S2C	1:bool:effective	refs/dofus-unity-protocol-builder/proto/game/account.proto:55
AchievementDetailsRequest	com.ankama.dofus.server.game.protocol.achievement.AchievementDetailsRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.achievement.AchievementDetailsRequest	C2S	1:int32:achievement_id	refs/dofus-unity-protocol-builder/proto/game/achievement.proto:7
AchievementsDetailedRequest	com.ankama.dofus.server.game.protocol.achievement.AchievementsDetailedRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.achievement.AchievementsDetailedRequest	C2S	1:int32:category_id	refs/dofus-unity-protocol-builder/proto/game/achievement.proto:11
AchievementsAlmostFinishedDetailedRequest	com.ankama.dofus.server.game.protocol.achievement.AchievementsAlmostFinishedDetailedRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.achievement.AchievementsAlmostFinishedDetailedRequest	C2S		refs/dofus-unity-protocol-builder/proto/game/achievement.proto:15
AchievementRewardRequest	com.ankama.dofus.server.game.protocol.achievement.AchievementRewardRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.achievement.AchievementRewardRequest	C2S	1:int32:achievement_id	refs/dofus-unity-protocol-builder/proto/game/achievement.proto:18
AchievementsEvent	com.ankama.dofus.server.game.protocol.achievement.AchievementsEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.achievement.AchievementsEvent	S2C	1:repeated .com.ankama.dofus.server.game.protocol.achievement.AchievedAchievement:achieved_achievements	refs/dofus-unity-protocol-builder/proto/game/achievement.proto:22
AchievementDetailsEvent	com.ankama.dofus.server.game.protocol.achievement.AchievementDetailsEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.achievement.AchievementDetailsEvent	S2C	1:.com.ankama.dofus.server.game.protocol.achievement.Achievement:achievement	refs/dofus-unity-protocol-builder/proto/game/achievement.proto:26
AchievementsDetailedEvent	com.ankama.dofus.server.game.protocol.achievement.AchievementsDetailedEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.achievement.AchievementsDetailedEvent	S2C	1:repeated .com.ankama.dofus.server.game.protocol.achievement.Achievement:achievements	refs/dofus-unity-protocol-builder/proto/game/achievement.proto:30
